                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.782,                0.70919,                0.99747,                0.98552,                0.72222,                0.80324,                0.41165,                 1.9177,                0.77983,                 1.0471,              0.0013466,              0.0013466,              0.0013466
                     36,                   1.64,                0.70332,                0.98963,                 0.9203,                0.72222,                0.79988,                 0.4386,                 1.8044,                0.82947,                 1.0253,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5641,                0.62932,                0.94927,                0.98999,                0.72222,                0.79464,                0.43766,                 1.6495,                0.84756,                 1.0046,               0.001307,               0.001307,               0.001307
                     38,                 1.6299,                0.65549,                0.97174,                0.95156,                0.72222,                0.78469,                0.42622,                 1.5237,                0.96413,                 1.0041,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6116,                0.62487,                0.97083,                0.92189,                0.77778,                0.78305,                0.48138,                 1.4162,                0.90764,                0.98859,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5945,                0.64179,                0.96288,                      1,                0.77298,                0.83103,                0.50665,                 1.3627,                0.78537,                0.96844,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5004,                0.63724,                0.99076,                      1,                0.77201,                 0.8342,                0.50932,                 1.3702,                0.82888,                0.97352,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5474,                0.63204,                0.96302,                0.87996,                0.81525,                0.83288,                0.41957,                 1.4881,                0.95183,                0.98133,               0.001208,               0.001208,               0.001208
                     43,                 1.5669,                0.67281,                0.95763,                      1,                0.77185,                0.83662,                0.44456,                 1.4656,                0.91993,                0.97825,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4967,                0.60908,                0.94025,                      1,                0.77577,                0.83087,                0.50395,                 1.3701,                0.72262,                0.97975,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.4221,                0.60362,                0.94033,                      1,                0.77526,                0.83766,                0.47502,                 1.3714,                0.70748,                0.98707,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5121,                 0.6278,                 0.9687,                      1,                0.71809,                0.81144,                 0.4743,                 1.4609,                  0.767,                 1.0052,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5216,                0.59229,                0.96375,                      1,                0.77089,                0.80827,                0.47844,                 1.4946,                0.71603,                 1.0197,               0.001109,               0.001109,               0.001109
                     48,                 1.4913,                 0.6196,                0.96708,                0.99148,                0.72222,                0.76449,                0.43393,                 1.7193,                0.75625,                 1.0633,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.439,                0.64004,                0.98031,                0.99134,                0.72222,                0.75402,                0.42783,                 1.6521,                0.85288,                 1.0418,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5502,                0.62053,                0.97981,                0.99125,                0.72222,                0.76666,                0.42943,                 1.5767,                 0.9191,                 1.0048,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.4858,                 0.6735,                0.96155,                 0.9903,                0.72222,                0.78585,                0.43874,                 1.5423,                0.96306,                0.99572,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5511,                0.62502,                 0.9532,                0.99204,                0.72222,                0.77994,                0.47502,                  1.473,                 1.0298,                0.98887,                0.00101,                0.00101,                0.00101
                     53,                 1.4989,                0.59774,                0.94335,                0.99237,                0.72222,                0.74443,                0.47252,                 1.4885,                 1.0477,                0.99204,              0.0009902,              0.0009902,              0.0009902
                     54,                   1.34,                0.59417,                 0.9561,                0.88137,                0.82588,                0.82921,                0.46113,                 1.4908,                0.95901,                0.99841,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.351,                0.57516,                0.95619,                      1,                0.77039,                0.83317,                0.48485,                 1.4116,                0.91486,                 0.9898,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5071,                0.57998,                0.96205,                      1,                0.80775,                0.84192,                0.49847,                 1.4123,                0.84231,                0.98311,              0.0009308,              0.0009308,              0.0009308
